username,userid,profile_location,created_at,text,retweet_count,source,coordinates
PDX Resistance ✊,796836543725867008,"Portland, OR",2016-11-10 22:06:51,"“Today, 17 organizations — representing youth, enviro justice, conservation, and clean energy constituencies — sign… https://t.co/RL3NH8FIkJ",3,Twitter for iPhone,
SkateSpeech,14767714,Home,2008-05-14 01:47:08,"Oh HELLLLL NO. No Justice, NO PEACE. Keep that energy going no matter who is President.",0,Twitter Web App,
Giving Compass,752264832057880578,"Seattle, WA",2016-07-10 22:14:47,"Take a look at the work of @JTAlliance, which serves people of color, Indigenous Peoples and low-income communities… https://t.co/IT0BK3rd7b",1,Buffer,
Ciara Hempseed~ Dirty 30-April 23,1100797188303671298,"Vancouver, British Columbia",2019-02-27 16:37:56,I really hope y’all keep the same energy when I’m allowed to come out about my rapist as y’all did about the girl b… https://t.co/PzjCsVud5Q,0,Twitter for iPhone,
Postmartinista,57223562,Santo Domingo,2009-07-16 03:01:23,"@vivekmjacob The whole interview was amazing. The history of social justice in his family, his genuineness, his acu… https://t.co/G3yzcKDAeF",0,Twitter for iPhone,
Collin Rees #DefundThePolice,422355017,"Aucocisco land (Portland, ME)",2011-11-27 04:53:54,RT @DevynFromOregon: The @LeadLocally folks are onto something important—some of the most important climate elections happen way down the b…,3,Twitter Web App,
Katherine (Katie) Walsh,560500446,"Brooklyn, New York",2012-04-22 16:42:00,RT @DevynFromOregon: The @LeadLocally folks are onto something important—some of the most important climate elections happen way down the b…,3,Twitter Web App,
jungroe,851297339595603968,Vancouver BC Canada,2017-04-10 04:54:36,"@MonaLisa_Twins Oooh yeah, you do this song supreme justice.  The energy and excitement buries the needle.  Rock an… https://t.co/hon86mJl9C",0,Twitter Web App,
Lead Locally,3300746437,,2015-07-29 16:29:21,RT @DevynFromOregon: The @LeadLocally folks are onto something important—some of the most important climate elections happen way down the b…,3,Twitter Web App,
Devyn Powell,384986062,"Portland, Oregon",2011-10-04 17:34:46,The @LeadLocally folks are onto something important—some of the most important climate elections happen way down th… https://t.co/guXMJ3EQSS,3,Twitter Web App,
ema justice arnold,1299801767044022272,"British Columbia, Canada",2020-08-29 20:11:23,"RT @MelissaMbarki: Why wasn't #KXL non negotiable? @JustinTrudeau 
https://t.co/qn5imrbFoJ",59,Twitter for iPad,
Vice Godhead,939697834105827328,"Calgary, Alberta",2017-12-10 03:26:37,@KayeSteinsapir One need not waste their energy on getting mad!Those monsters will face the justice. They're not gi… https://t.co/9al1QhGC9W,0,Twitter for Android,
People For Puget Sound,50137276,"Puget Sound, Washington",2009-06-23 23:21:00,"We need a solution that recovers Snake River salmon. 
We need a solution that prioritizes justice, climate resilien… https://t.co/zVaFrLg4Bu",0,TweetDeck,
Proud Democrat USAF Senior NCO Retired 🇺🇸🆘,1361107755734622210,"Florida, USA",2021-02-15 00:19:34,RT @JD99955926: @Gdad1 @voxdotcom It is time for @POTUS to put some energy into nominating a liberal supreme court justice. These conservat…,2,Twitter for iPad,
WEC,25598610,"Seattle, WA",2009-03-20 23:28:10,"We need a solution that recovers Snake River salmon. 
We need a solution that prioritizes justice, climate resilien… https://t.co/uuof4K6amR",0,TweetDeck,
Al​ 🅖🅓🅐🅓➊ Criswell​,15545122,Lebanon PA,2008-07-22 23:19:01,RT @JD99955926: @Gdad1 @voxdotcom It is time for @POTUS to put some energy into nominating a liberal supreme court justice. These conservat…,2,Twitter Web App,
